country_code,year,rd
CUB,2014,335500.0
CUB,2015,373400.0
CUB,2016,312700.0
CUB,2017,417100.0
CUB,2018,537180.0
CYP,2013,87469.0
CYP,2014,89521.0
CYP,2015,85286.0
CYP,2016,98815.0
CYP,2017,110214.0
CYP,2018,115800.0
COD,2015,142683288.8
ECU,2013,361398.236
ECU,2014,450306.465
EGY,2013,11887000.0
EGY,2014,13557258.26582
EGY,2015,17561440.0
EGY,2016,19195479.793
EGY,2017,23575615.0
EGY,2018,32121640.0
SLV,2013,14046.37
SLV,2014,21186.87
SLV,2015,33630.0
SLV,2016,35060.0
SLV,2017,45156.9
SLV,2018,43016.0
EST,2013,326045.0
EST,2014,286736.0
EST,2015,302766.0
EST,2016,270340.0
EST,2017,304320.0
EST,2018,365650.0
ETH,2013,5242607.978
ETH,2017,5028637.18601
GMB,2018,55770.1
GEO,2013,22464.0
GEO,2014,53900.0
GEO,2015,101560.0
GEO,2016,102440.0
GEO,2017,110150.0
GEO,2018,125109.2
GTM,2013,163071.0
GTM,2014,131919.0
GTM,2015,145850.0
GTM,2016,116037.0
GTM,2017,155579.0
GTM,2018,162000.0
HND,2015,68910.0
HND,2017,217035.1
HKG,2013,15613300.0
HKG,2014,16727300.0
HKG,2015,18270700.0
HKG,2016,19713100.0
HKG,2017,21280400.0
HKG,2018,24478400.0
IND,2013,793558900.0
IND,2014,874734400.0
IND,2015,954524400.0
IND,2016,1030992600.0
IND,2017,1138250300.0
IND,2018,1238477100.0
IDN,2013,8085259000.0
IDN,2016,30427545807.819
IDN,2017,32350756772.9487
IDN,2018,33583093534.45
IRN,2013,25099963000.0
IRN,2015,47668619000.0
IRN,2017,127167830000.0
ISR,2013,43281000.0
ISR,2014,46230000.0
ISR,2015,49704000.0
ISR,2016,55267000.0
ISR,2017,61241000.0
ISR,2018,65743000.0
JOR,2016,196981.91
KAZ,2013,61672657.9
KAZ,2014,66347600.0
KAZ,2015,69302900.0
KAZ,2016,66600100.0
KAZ,2017,68884200.0
KAZ,2018,72224600.0
KWT,2013,148933.329
KWT,2014,197658.731
KWT,2015,33302.5663
KWT,2016,26396.17869
KWT,2017,29436.56368
KWT,2018,26495.541
KGZ,2013,529881.5
KGZ,2014,502322.4
KGZ,2015,512429.2
KGZ,2016,529715.4
KGZ,2017,568000.0
KGZ,2018,575500.0
LVA,2013,139500.0
LVA,2014,162800.0
LVA,2015,152300.0
LVA,2016,110400.0
LVA,2017,137900.0
LVA,2018,186200.0
LSO,2015,15358.323
LTU,2013,332426.0
LTU,2014,376827.0
LTU,2015,389670.0
LTU,2016,327612.0
LTU,2017,378906.0
LTU,2018,426306.0
MKD,2013,2203000.0
MKD,2014,2725000.0
MKD,2015,2482400.0
MKD,2016,2592400.0
MKD,2017,2190500.0
MKD,2018,2403400.0
MDG,2014,3995400.0
MDG,2016,4757600.0
MDG,2017,5233360.0
MYS,2014,13971560.0
MYS,2015,15058344.981
MYS,2016,17685392.711
MYS,2018,15060400.0
MLI,2015,24375866.198
MLI,2017,26051013.944
MLT,2013,59055.0
MLT,2014,60539.0
MLT,2015,71491.0
MLT,2016,58702.0
MLT,2017,65928.0
MLT,2018,70792.0
MUS,2017,1675000.0
MUS,2018,1669531.454
MDA,2013,356000.0
MDA,2014,415200.0
MDA,2015,451000.0
MDA,2016,445300.0
MDA,2017,453900.0
MDA,2018,484500.0
MNG,2013,44571600.0
MNG,2014,49655100.0
MNG,2015,35808100.0
MNG,2016,43903200.0
MNG,2017,37590500.0
MNG,2018,33107600.0
MOZ,2015,1996960.0
MMR,2017,28814807.0
NIC,2013,279230.0
NIC,2014,275569.0
NIC,2015,373495.0
PAK,2013,65556875.0
PAK,2015,67524600.0
PAK,2017,75421826.0
PAN,2013,28300.0
PAN,2014,70150.0
PAN,2015,65090.0
PAN,2016,83930.0
PAN,2017,91550.0
PRY,2013,119154500.0
PRY,2014,142361268.068
PRY,2015,182333420.009
PRY,2016,238948926.8
PRY,2017,326219230.0
PRY,2018,338575789.0
PER,2013,444300.0
PER,2014,615920.0
PER,2015,707290.0
PER,2016,777709.0
PER,2017,831415.2
PER,2018,927890.0
PHL,2013,15914710.39677
PHL,2015,21868610.584
ROU,2013,2464779.0
ROU,2014,2555662.0
ROU,2015,3476933.0
ROU,2016,3675142.0
