country_code,year,haq_interpolated
AUS,1998,82.54
AUS,1999,83.12
AUS,2000,83.7
AUS,2001,84.2
AUS,2002,84.7
AUS,2003,85.2
AUS,2004,85.7
AUS,2005,86.2
AUS,2006,86.60000000000001
AUS,2007,87.0
AUS,2008,87.4
AUS,2009,87.8
AUS,2010,88.2
AUS,2011,88.52
AUS,2012,88.84
AUS,2013,89.16
AUS,2014,89.48
AUS,2015,89.8
AUT,1990,74.4
AUT,1991,75.16000000000001
AUT,1992,75.92
AUT,1993,76.68
AUT,1994,77.44
AUT,1995,78.2
AUT,1996,78.88
AUT,1997,79.56
AUT,1998,80.24
AUT,1999,80.92
AUT,2000,81.6
AUT,2001,82.11999999999999
AUT,2002,82.64
AUT,2003,83.16
AUT,2004,83.68
AUT,2005,84.2
AUT,2006,84.58
AUT,2007,84.96
AUT,2008,85.34
AUT,2009,85.72
AUT,2010,86.1
AUT,2011,86.52
AUT,2012,86.94
AUT,2013,87.36
AUT,2014,87.78
AUT,2015,88.2
AZE,1990,52.9
AZE,1991,52.68
AZE,1992,52.46
AZE,1993,52.239999999999995
AZE,1994,52.019999999999996
AZE,1995,51.8
AZE,1996,52.16
AZE,1997,52.519999999999996
AZE,1998,52.88
AZE,1999,53.24
AZE,2000,53.6
AZE,2001,53.96
AZE,2002,54.32
AZE,2003,54.68
AZE,2004,55.04
AZE,2005,55.4
AZE,2006,56.3
AZE,2007,57.199999999999996
AZE,2008,58.1
AZE,2009,59.0
AZE,2010,59.9
AZE,2011,60.82
AZE,2012,61.74
AZE,2013,62.66
AZE,2014,63.58
AZE,2015,64.5
BDI,1990,23.5
BDI,1991,23.48
BDI,1992,23.46
BDI,1993,23.439999999999998
BDI,1994,23.419999999999998
BDI,1995,23.4
BDI,1996,24.119999999999997
BDI,1997,24.84
BDI,1998,25.56
BDI,1999,26.28
BDI,2000,27.0
BDI,2001,28.7
BDI,2002,30.4
BDI,2003,32.1
BDI,2004,33.8
BDI,2005,35.5
BDI,2006,36.5
BDI,2007,37.5
BDI,2008,38.5
BDI,2009,39.5
BDI,2010,40.5
BDI,2011,40.48
BDI,2012,40.46
BDI,2013,40.44
BDI,2014,40.42
BDI,2015,40.4
BEL,1990,75.4
BEL,1991,76.08
BEL,1992,76.76
BEL,1993,77.44
BEL,1994,78.12
BEL,1995,78.8
BEL,1996,79.36
BEL,1997,79.92
BEL,1998,80.47999999999999
BEL,1999,81.03999999999999
BEL,2000,81.6
BEL,2001,82.19999999999999
BEL,2002,82.8
BEL,2003,83.39999999999999
BEL,2004,84.0
BEL,2005,84.6
BEL,2006,84.94
BEL,2007,85.28
BEL,2008,85.61999999999999
