Country,Code,Cases,Deaths,Population,Mortality
Syria,SYR,23439,1664,17862285,0.07099279
Guinea,GIN,22685,151,13435484,0.006656381
Réunion,REU,21601,150,900780,0.006944123
French Guiana,GUF,20644,106,305263,0.005134664
Cambodia,KHM,20223,131,16916534,0.006477773
Mayotte,MYT,20134,170,278414,0.008443429
French Polynesia,PYF,18797,141,282298,0.007501197
Mauritania,MRT,18691,456,4753541,0.024396768
Eswatini,SWZ,18482,671,1170433,0.036305595
Guadeloupe,GLP,15360,210,400183,0.013671875
Guyana,GUY,14442,327,789802,0.022642293
Somalia,SOM,14415,747,16269885,0.05182102
Mali,MLI,14115,502,20746149,0.035565002
Trinidad and Tobago,TTO,13454,215,1403371,0.015980378
Andorra,AND,13429,127,77371,0.009457145
Burkina Faso,BFA,13382,162,21390267,0.012105814
Tajikistan,TJK,13308,90,9719991,0.006762849
Haiti,HTI,13227,266,11521285,0.02011038
Togo,TGO,13167,125,8443823,0.009493431
Belize,BLZ,12700,323,403782,0.025433071
Curaçao,CUW,12236,116,164668,0.009480222
Papua New Guinea,PNG,12086,121,9091473,0.010011584
Hong Kong,HKG,11812,210,7549016,0.01777853
Martinique,MTQ,11558,83,375015,0.007181173
Djibouti,DJI,11355,149,1000265,0.013121973
Congo,COG,11343,148,5633606,0.013047695
Suriname,SUR,11213,218,591128,0.019441719
Bahamas,BHS,10908,214,396457,0.019618629
Aruba,ABW,10781,102,107154,0.009461089
Lesotho,LSO,10773,319,2156778,0.029611065
South Sudan,SSD,10641,115,11305865,0.010807255
Seychelles,SYC,8172,28,98868,0.003426334
Benin,BEN,7884,100,12393114,0.012683917
Equatorial Guinea,GNQ,7694,112,1442067,0.014556798
Nicaragua,NIC,6989,183,6691897,0.026184003
CAR,NA,6674,93,4901378,0.013934672
Iceland,ISL,6519,29,343139,0.004448535
Yemen,YEM,6485,1275,30385204,0.196607556
Gambia,GMB,5929,175,2474337,0.029515939
Niger,NER,5322,192,24948651,0.036076663
San Marino,SMR,5083,90,33992,0.017706079
Chad,TCD,4882,171,16826134,0.035026628
Saint Lucia,LCA,4690,75,184346,0.015991471
Gibraltar,GIB,4286,94,33682,0.021931871
Burundi,BDI,4200,6,12191404,0.001428571
Sierra Leone,SLE,4089,79,8115172,0.019320127
Channel Islands,NA,4057,86,175233,0.02119793
Barbados,BRB,3946,45,287677,0.011403953
Comoros,COM,3860,146,885375,0.037823834
Eritrea,ERI,3754,12,3588331,0.00319659
Guinea-Bissau,GNB,3741,67,2007576,0.01790965
Vietnam,VNM,3507,35,98087634,0.00998004
Timor-Leste,TLS,3353,5,1339847,0.001491202
Liechtenstein,LIE,2974,58,38222,0.019502354
New Zealand,NZL,2643,26,5002100,0.009837306
Monaco,MCO,2481,32,39480,0.012898025
Bermuda,BMU,2451,31,62080,0.012647899
Turks and Caicos,TCA,2402,17,39164,0.007077435
Sao Tome and Principe,STP,2318,35,222628,0.015099223
Sint Maarten,SXM,2263,27,43292,0.011931065
Liberia,LBR,2114,85,5158828,0.040208136
St. Vincent Grenadines,VCT,1922,12,111242,0.006243496
Saint Martin,NA,1773,12,39228,0.00676819
Isle of Man,IMN,1590,29,85418,0.018238994
Caribbean Netherlands,BES,1582,17,26431,0.010745891
Laos,LAO,1362,1,7365686,7.34E-04
Mauritius,MUS,1256,17,1273577,0.013535032
Bhutan,BTN,1241,1,778870,8.06E-04
Antigua and Barbuda,ATG,1237,32,98623,0.025869038
Taiwan,TWN,1210,12,23853726,0.009917355
St. Barth,NA,974,1,9903,0.001026694
Diamond Princess,NA,712,13,NA,0.018258427
Faeroe Islands,FRO,668,1,49022,0.001497006
Cayman Islands,CYM,548,2,66381,0.003649635
Tanzania,TZA,509,21,61179224,0.041257367
Wallis and Futuna,WLF,445,7,11069,0.015730337
Brunei,BRN,230,3,441061,0.013043478
British Virgin Islands,VGB,219,1,30403,0.00456621
Dominica,DMA,175,NA,72139,0
Grenada,GRD,160,1,112970,0.00625
Fiji,FJI,152,3,902004,0.019736842
New Caledonia,NCL,124,NA,287845,0
Anguilla,AIA,109,NA,15118,0
Falkland Islands,FLK,63,NA,3566,0
Macao,MAC,49,NA,656894,0
Saint Kitts and Nevis,KNA,45,NA,53521,0
Greenland,GRL,31,NA,56854,0
Vatican City,VAT,27,NA,803,0
Saint Pierre Miquelon,SPM,25,NA,5770,0
Montserrat,MSR,20,1,4995,0.05
Solomon Islands,SLB,20,NA,701211,0
Western Sahara,ESH,10,1,609830,0.1
MS Zaandam,NA,9,2,NA,0.222222222
Vanuatu,VUT,4,1,313252,0.25
Marshall Islands,MHL,4,NA,59532,0
Samoa,WSM,3,NA,199542,0
Saint Helena,SHN,2,NA,6092,0
Micronesia,NA,1,NA,116054,0
